"CustomerID","Country","TotalRevenue","TotalOrders","TotalItems","TotalProducts","AvgOrderValue","AvgItemPrice","AvgQuantityPerOrder","FirstPurchase","LastPurchase","DaysSinceFirst","DaysSinceLast","R_Score","F_Score","M_Score","Customer_Segment","IsUK"
12346,"United Kingdom",77183.6,1,74215,1,77183.6,1.04,74215,2011-01-18,2011-01-18,325,325,1,1,5,"Lost",1
12347,"Iceland",4310,7,2458,103,615.714285714286,2.64401098901099,351.142857142857,2010-12-07,2011-12-07,367,2,5,5,5,"Champions",0
12348,"Finland",1797.24,4,2341,22,449.31,5.76483870967742,585.25,2010-12-16,2011-09-25,358,75,2,4,4,"At Risk",0
12349,"Italy",1757.55,1,631,73,1757.55,8.28904109589041,631,2011-11-21,2011-11-21,18,18,4,1,4,"Promising",0
12350,"Norway",334.4,1,197,17,334.4,3.84117647058824,197,2011-02-02,2011-02-02,310,310,1,1,2,"Lost",0
12352,"Norway",2506.04,8,536,59,313.255,15.9307058823529,67,2011-02-16,2011-11-03,296,36,3,5,5,"Loyal Customers",0
12353,"Bahrain",89,1,20,4,89,6.075,20,2011-05-19,2011-05-19,204,204,1,1,1,"Lost",0
12354,"Spain",1079.4,1,530,58,1079.4,4.50379310344828,530,2011-04-21,2011-04-21,232,232,1,1,4,"Lost",0
12355,"Bahrain",459.4,1,240,13,459.4,4.20384615384615,240,2011-05-09,2011-05-09,214,214,1,1,2,"Lost",0
12356,"Portugal",2811.43,3,1591,53,937.143333333333,3.20118644067797,530.333333333333,2011-01-18,2011-11-17,325,22,4,3,5,"Loyal Customers",0
12357,"Switzerland",6207.67,1,2708,131,6207.67,3.34862595419847,2708,2011-11-06,2011-11-06,33,33,3,1,5,"Regular",0
12358,"Austria",1168.06,2,248,13,584.03,8.27421052631579,124,2011-07-12,2011-12-08,150,1,5,2,4,"Promising",0
12359,"Cyprus",6372.58,4,1622,214,1593.145,8.62040322580645,405.5,2011-01-12,2011-10-13,331,57,3,4,5,"Loyal Customers",0
12360,"Austria",2662.06,3,1165,105,887.353333333333,3.54968992248062,388.333333333333,2011-05-23,2011-10-18,200,52,3,3,5,"Loyal Customers",0
12361,"Belgium",189.9,1,91,10,189.9,3.335,91,2011-02-25,2011-02-25,287,287,1,1,1,"Lost",0
12362,"Belgium",5226.23,10,2229,201,522.623,3.94093984962406,222.9,2011-02-17,2011-12-06,295,3,5,5,5,"Champions",0
12363,"Unspecified",552,2,408,23,276,2.31173913043478,204,2011-04-11,2011-08-22,242,109,2,2,3,"Lost",0
12364,"Belgium",1313.1,4,1506,70,328.275,1.91023529411765,376.5,2011-08-19,2011-12-02,112,7,5,4,4,"Champions",0
12365,"Cyprus",641.38,2,174,22,320.69,17.1504545454545,87,2011-02-21,2011-02-21,291,291,1,2,3,"Lost",0
12367,"Denmark",168.9,1,173,11,168.9,3.2,173,2011-12-05,2011-12-05,4,4,5,1,1,"Promising",0
12370,"Austria",277.2,1,51,8,277.2,8.0875,51,2010-12-17,2010-12-17,357,357,3,4,5,"Loyal Customers",0
12370,"Cyprus",3268.49,3,2302,135,1089.49666666667,2.53427672955975,767.333333333333,2010-12-14,2011-10-19,360,51,3,4,5,"Loyal Customers",0
12371,"Switzerland",1887.96,2,591,63,943.98,3.87428571428571,295.5,2011-10-11,2011-10-26,59,44,3,2,4,"Regular",0
12372,"Denmark",1298.04,3,794,34,432.68,3.00134615384615,264.666666666667,2011-02-16,2011-09-29,296,71,2,3,4,"Regular",0
12373,"Austria",364.6,1,197,14,364.6,4.58214285714286,197,2011-02-01,2011-02-01,311,311,1,1,2,"Lost",0
12374,"Austria",742.93,1,342,33,742.93,4.21969696969697,342,2011-11-14,2011-11-14,25,25,4,1,3,"Promising",0
12375,"Finland",457.5,2,178,14,228.75,6.91294117647059,89,2011-09-02,2011-11-29,98,10,5,2,2,"Promising",0
12377,"Switzerland",1628.12,2,944,72,814.06,2.71883116883117,472,2010-12-20,2011-01-28,354,315,1,2,4,"Lost",0
12378,"Switzerland",4008.62,1,2529,219,4008.62,2.99744292237443,2529,2011-08-02,2011-08-02,129,129,2,1,5,"Lost",0
12379,"Belgium",852.24,2,407,39,426.12,2.86625,203.5,2011-06-22,2011-09-19,170,81,2,2,3,"Lost",0
12380,"Belgium",2724.81,4,1127,77,681.2025,3.37865384615385,281.75,2011-06-07,2011-11-18,185,21,4,4,5,"Champions",0
12381,"Norway",1845.31,5,808,70,369.062,4.6832183908046,161.6,2011-08-12,2011-12-05,119,4,5,4,4,"Champions",0
12383,"Belgium",1850.56,5,1532,84,370.112,3.0869696969697,306.4,2010-12-22,2011-06-08,352,184,1,4,4,"At Risk",0
12384,"Switzerland",585.27,2,126,26,292.635,7.87925925925926,63,2011-08-10,2011-11-11,121,28,4,2,3,"Promising",0
12386,"Australia",401.9,2,354,10,200.95,2.391,177,2010-12-08,2011-01-06,366,337,1,2,2,"Lost",0
12388,"Australia",2780.66,6,1462,57,463.443333333333,2.7777,243.666666666667,2011-01-17,2011-11-24,326,15,4,4,5,"Champions",0
12390,"Belgium",549.84,1,353,32,549.84,3.996875,353,2011-09-21,2011-09-21,79,79,2,1,3,"Lost",0
12391,"Cyprus",460.89,1,300,92,460.89,2.4599,300,2011-11-18,2011-11-18,21,21,4,1,2,"Promising",0
12393,"Australia",1582.6,4,816,47,395.65,2.2796875,204,2011-01-11,2011-09-28,332,72,2,4,4,"At Risk",0
12394,"Belgium",381.08,1,182,21,381.08,3.0152380952381,182,2011-05-06,2011-05-06,217,217,3,2,4,"Regular",0
12394,"Denmark",891.4,1,637,6,891.4,4.615,637,2011-10-07,2011-10-07,63,63,3,2,4,"Regular",0
12395,"Belgium",3018.63,12,2118,91,251.5525,3.96884615384615,176.5,2010-12-03,2011-11-20,371,19,4,5,5,"Champions",0
12397,"Belgium",2409.9,2,1263,110,1204.95,3.46825396825397,631.5,2011-07-27,2011-11-04,135,35,3,2,5,"Regular",0
12398,"Switzerland",1635.66,1,1394,85,1635.66,1.99270588235294,1394,2011-10-25,2011-10-25,45,45,3,1,4,"Regular",0
12399,"Belgium",1108.65,4,1178,47,277.1625,2.11457627118644,294.5,2011-03-23,2011-08-12,261,119,2,4,4,"At Risk",0
12401,"Belgium",84.3,1,11,5,84.3,9.68,11,2011-02-09,2011-02-09,303,303,1,1,1,"Lost",0
12402,"Belgium",225.6,1,94,11,225.6,3.29090909090909,94,2011-01-20,2011-01-20,323,323,1,1,1,"Lost",0
12403,"Denmark",427.7,1,96,5,427.7,7.08,96,2011-10-21,2011-10-21,49,49,3,1,2,"Regular",0
12405,"Finland",1710.39,1,857,54,1710.39,3.54425925925926,857,2011-07-14,2011-07-14,148,148,2,1,4,"Lost",0
12406,"Denmark",3415.3,2,1818,92,1707.65,2.48704761904762,909,2011-06-09,2011-11-17,183,22,4,2,5,"Promising",0
12407,"Belgium",1708.12,5,1416,57,341.624,3.2674025974026,283.2,2011-03-20,2011-10-21,264,49,3,4,4,"Loyal Customers",0
12408,"Belgium",2888.55,5,1409,81,577.71,3.02285714285714,281.8,2011-03-24,2011-11-07,260,32,3,4,5,"Loyal Customers",0
12409,"Switzerland",11072.67,3,5551,91,3690.89,3.57449541284404,1850.33333333333,2011-06-10,2011-09-22,182,78,2,3,5,"Regular",0
12410,"Switzerland",693.33,2,211,26,346.665,6.33538461538462,105.5,2011-02-04,2011-02-04,308,308,1,2,3,"Lost",0
12412,"Denmark",1226.88,3,829,43,408.96,2.71377049180328,276.333333333333,2011-06-23,2011-09-26,169,74,2,3,4,"Regular",0
12413,"France",758.1,3,286,29,252.7,4.79842105263158,95.3333333333333,2011-01-06,2011-10-04,337,66,3,3,3,"Loyal Customers",0
12414,"Austria",562.41,3,300,16,187.47,8.57,100,2011-02-02,2011-05-06,310,217,1,3,3,"Regular",0
12415,"Australia",124914.53,21,77374,444,5948.31095238095,2.93708683473389,3684.47619047619,2011-01-06,2011-11-15,337,24,4,5,5,"Champions",0
12417,"Belgium",3212.8,8,1285,136,401.6,5.63804733727811,160.625,2010-12-17,2011-12-06,357,3,5,5,5,"Champions",0
12417,"Spain",436.3,1,267,23,436.3,3.13260869565217,267,2011-04-28,2011-04-28,225,225,5,5,5,"Champions",0
12418,"Switzerland",668.58,1,407,34,668.58,3.56441176470588,407,2011-08-19,2011-08-19,112,112,2,1,3,"Lost",0
12420,"Cyprus",600.39,1,345,29,600.39,4.70724137931034,345,2011-10-07,2011-10-07,63,63,3,1,3,"Regular",0
12421,"Spain",807.04,4,484,32,201.76,4.52022222222222,121,2011-01-24,2011-11-24,319,15,4,4,3,"Loyal Customers",0
12422,"Australia",386.2,2,195,21,193.1,2.43428571428571,97.5,2011-01-19,2011-09-05,324,95,2,3,3,"Regular",0
12422,"Switzerland",417.36,1,175,18,417.36,4.22388888888889,175,2011-06-24,2011-06-24,168,168,2,3,3,"Regular",0
12423,"Belgium",1859.31,8,1339,97,232.41375,2.9136,167.375,2010-12-21,2011-12-09,353,0,5,5,4,"Champions",0
12424,"Australia",1760.96,2,740,30,880.48,2.78066666666667,370,2011-06-30,2011-06-30,162,162,2,2,4,"Lost",0
12425,"Portugal",777.2,1,496,36,777.2,2.56444444444444,496,2011-09-22,2011-09-22,78,78,2,1,3,"Lost",0
12426,"Germany",582.73,1,258,30,582.73,3.93633333333333,258,2011-05-29,2011-05-29,194,194,1,1,3,"Lost",0
12427,"Germany",825.8,3,533,26,275.266666666667,4.58903225806452,177.666666666667,2010-12-03,2011-11-18,371,21,4,3,3,"Loyal Customers",0
12428,"Finland",7956.46,9,3536,258,884.051111111111,4.62741496598639,392.888888888889,2011-03-01,2011-11-14,283,25,4,5,5,"Champions",0
12429,"Austria",437.98,1,198,21,437.98,5.44428571428571,198,2011-04-26,2011-04-26,227,227,5,4,5,"Champions",0
12429,"Denmark",3312.42,3,1359,63,1104.14,3.12960526315789,453,2010-12-09,2011-11-30,365,9,5,4,5,"Champions",0
12430,"Norway",256.4,1,117,11,256.4,6.22545454545455,117,2011-10-27,2011-10-27,43,43,3,1,2,"Regular",0
12431,"Australia",5514.67,13,2431,117,424.205384615385,3.89817679558011,187,2010-12-01,2011-11-04,373,35,3,5,5,"Loyal Customers",0
12431,"Belgium",972.78,2,475,51,486.39,3.40592592592593,237.5,2011-02-17,2011-10-10,295,60,3,5,5,"Loyal Customers",0
12432,"Norway",5059.32,5,1801,107,1011.864,10.5508333333333,360.2,2011-06-20,2011-10-28,172,42,3,4,5,"Loyal Customers",0
12433,"Norway",13375.87,7,11071,219,1910.83857142857,2.1927380952381,1581.57142857143,2010-12-01,2011-12-09,373,0,5,5,5,"Champions",0
12434,"Australia",806.14,2,394,46,403.07,3.6726,197,2011-03-24,2011-09-16,260,84,2,2,3,"Lost",0
12435,"Denmark",7829.89,2,2055,31,3914.945,5.47916666666667,1027.5,2011-03-16,2011-09-21,268,79,2,2,5,"Lost",0
12436,"Norway",509.01,1,211,16,509.01,5.2675,211,2011-09-01,2011-09-01,99,99,2,1,3,"Lost",0
12437,"France",4951.41,18,2922,118,275.078333333333,4.01256281407035,162.333333333333,2011-01-12,2011-12-08,331,1,5,5,5,"Champions",0
12438,"Norway",2906.85,2,1180,84,1453.425,3.89489795918367,590,2011-07-22,2011-11-25,140,14,4,2,5,"Promising",0
12441,"France",173.55,1,121,11,173.55,3.70090909090909,121,2010-12-08,2010-12-08,366,366,1,1,1,"Lost",0
12442,"Spain",172.06,1,182,12,172.06,3.34,182,2011-12-06,2011-12-06,3,3,5,1,1,"Promising",0
12444,"Norway",5005.46,5,1153,138,1001.092,6.35869318181818,230.6,2011-06-21,2011-11-18,171,21,4,4,5,"Champions",0
12445,"Spain",133.4,1,62,4,133.4,7.9875,62,2011-11-17,2011-11-17,22,22,4,1,1,"Promising",0
12446,"RSA",1002.31,1,351,57,1002.31,4.35263157894737,351,2011-10-13,2011-10-13,57,57,3,1,4,"Regular",0
12447,"Belgium",476.49,1,190,26,476.49,3.57423076923077,190,2011-04-10,2011-04-10,243,243,1,1,2,"Lost",0
12448,"Spain",449.45,1,243,22,449.45,5.95181818181818,243,2011-10-26,2011-10-26,44,44,3,1,2,"Regular",0
12449,"Belgium",4067.29,4,1553,118,1016.8225,3.69471204188482,388.25,2011-06-05,2011-11-17,187,22,4,4,5,"Champions",0
12450,"Spain",197.88,2,128,7,98.94,1.6175,64,2011-06-19,2011-07-06,173,156,2,2,1,"Lost",0
12451,"Switzerland",9035.52,5,6575,265,1807.104,2.45008474576271,1315,2011-01-19,2011-11-29,324,10,5,4,5,"Champions",0
12452,"Switzerland",430.57,2,185,21,215.285,4.485,92.5,2011-11-23,2011-11-23,16,16,4,2,2,"Promising",0
12453,"Austria",707.09,1,473,43,707.09,2.39325581395349,473,2011-07-28,2011-07-28,134,134,2,1,3,"Lost",0
12454,"Spain",3528.34,1,1006,15,3528.34,7.282,1006,2011-10-14,2011-10-14,56,56,3,1,5,"Regular",0
12455,"Cyprus",1698.9,2,1523,42,849.45,2.58,761.5,2011-02-16,2011-02-17,296,295,2,4,5,"At Risk",0
12455,"Spain",767.96,4,566,44,191.99,3.6925,141.5,2011-06-03,2011-09-27,189,73,2,4,5,"At Risk",0
12456,"Switzerland",3181.04,3,1633,105,1060.34666666667,3.62456,544.333333333333,2011-03-30,2011-10-26,254,44,3,3,5,"Loyal Customers",0
12457,"Cyprus",392.7,2,66,1,196.35,5.95,33,2011-09-19,2011-10-04,81,66,3,5,5,"Loyal Customers",0
12457,"Switzerland",1970.53,5,777,52,394.106,5.33733333333333,155.4,2011-04-14,2011-09-15,239,85,3,5,5,"Loyal Customers",0
12458,"Switzerland",947.4,2,506,35,473.7,4.32631578947368,253,2011-02-28,2011-09-29,284,71,2,2,4,"Lost",0
12461,"Switzerland",826.88,2,287,35,413.44,4.25885714285714,143.5,2011-07-08,2011-09-06,154,94,2,2,3,"Lost",0
12462,"Spain",1189.59,2,536,51,594.795,4.68951612903226,268,2011-02-09,2011-11-21,303,18,4,2,4,"Promising",0
12463,"Belgium",1344.78,4,776,65,336.195,3.04349397590361,194,2011-04-12,2011-10-17,241,53,3,4,4,"Loyal Customers",0
12464,"Belgium",1212.05,8,112,6,151.50625,11.8327586206897,14,2011-02-03,2011-11-29,309,10,5,5,4,"Champions",0
